ilce_adi;mahalle_adi;tarimsal_sulama_suyu
Tuzlukçu;ERDOĞDU;VAR
Tuzlukçu;KÖKLÜCE;VAR
Yalıhüyük;SARAY;YOK
Yalıhüyük;ARASÖĞÜT;YOK
Yunak;KUZÖREN;VAR
Yunak;KOÇYAZI;VAR
Yunak;TURGUT;VAR
Yunak;PİRİBEYLİ;YOK
Yunak;SÜLÜKLÜ;VAR
Yunak;ALTINÖZ;VAR
Yunak;AYRITEPE;YOK
Yunak;BEŞIŞIKLI;VAR
Yunak;CEBRAİL;YOK
Yunak;ÇAYIRBAŞI;VAR
Yunak;EĞRİKUYU;VAR
Yunak;HACIÖMEROĞLU;VAR
Yunak;HATIRLI;VAR
Yunak;HACIFAKILI;VAR
Yunak;HARUNLAR;YOK
Yunak;HURSUNLU;VAR
Yunak;İMAMOĞLU;VAR
Yunak;KARGALI;YOK
Yunak;KARAYAYLA;VAR
Yunak;KILLAR;VAR
Yunak;KURTUŞAĞI;YOK
Yunak;KUYUBAŞI;VAR
Yunak;MEŞELİK;YOK
Yunak;ODABAŞI;VAR
Yunak;ORTAKIŞLA;VAR
Yunak;ÖZYAYLA;VAR
Yunak;SERTLER;VAR
Yunak;SEVİNÇ;YOK
Yunak;SIRAM;YOK
Yunak;SİNANLI;VAR
Yunak;YAVAŞLI;VAR
Yunak;YEŞİLOBA;VAR
Yunak;YEŞİLYAYLA;VAR
Yunak;YIĞAR;VAR
Yunak;SARAY;VAR
;;
